Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
3749,01/21/2025,01/21/2025,Hubspot Inc.,Professional Services,Sale,-20.00,
3749,01/20/2025,01/20/2025,SQ *FIFTY LICKS,Food & Drink,Sale,-9.00,
3749,01/18/2025,01/20/2025,EXPRESS MARKET,Food & Drink,Sale,-3.09,
3749,01/19/2025,01/20/2025,WOOD VILLAGE BURRITO,Food & Drink,Sale,-12.63,
3749,01/18/2025,01/19/2025,SQ *HAVEN COFFEE CO.,Food & Drink,Sale,-3.75,
3749,01/18/2025,01/19/2025,SQ *NW 23RD PINE STATE BI,Food & Drink,Sale,-21.24,
3749,01/16/2025,01/17/2025,AMAZON MKTPL*Z56O118N0,Merchandise & Inventory,Sale,-86.83,
3749,01/15/2025,01/16/2025,UBER   *TRIP,Travel,Sale,-10.98,
3749,01/13/2025,01/15/2025,WASH KIOSK MOBILE,Miscellaneous,Sale,-15.00,
3749,01/12/2025,01/14/2025,TAQUERIA EL BURRITO,Food & Drink,Sale,-34.86,
3749,01/09/2025,01/12/2025,ARCO#07195ARCO #07195,Gas,Sale,-68.50,
3749,01/09/2025,01/12/2025,CHICK-FIL-A #03262,Food & Drink,Sale,-14.15,
3749,01/11/2025,01/12/2025,7-ELEVEN 23009,Gas,Sale,-35.95,
3749,01/09/2025,01/10/2025,American Eagle Outfitters,Merchandise & Inventory,Return,41.24,
3749,01/09/2025,01/10/2025,American Eagle Outfitters,Merchandise & Inventory,Return,47.59,
3749,01/08/2025,01/09/2025,AMAZON MKTPL*Z51K39Z52,Merchandise & Inventory,Sale,-19.54,
3749,01/05/2025,01/06/2025,UBER   *TRIP,Travel,Sale,-9.02,
3749,01/05/2025,01/06/2025,SQ *ARSICAULT,Food & Drink,Sale,-12.50,
3749,01/02/2025,01/05/2025,PAR*PITA PIT - MAMMOTH LA,Food & Drink,Sale,-14.32,
3749,01/02/2025,01/05/2025,TST*THAI SPICE RESTAURAN,Food & Drink,Sale,-101.54,
3749,01/02/2025,01/05/2025,IN-N-OUT DAVIS,Food & Drink,Sale,-6.60,
3749,01/02/2025,01/05/2025,IN-N-OUT DAVIS,Food & Drink,Sale,-11.64,
3749,01/03/2025,01/05/2025,UBER   *TRIP,Travel,Sale,-10.98,
3749,01/03/2025,01/03/2025,Payment Thank You - Web,,Payment,2357.83,
3749,01/01/2025,01/02/2025,SQ *LATIN MARKET,Food & Drink,Sale,-16.50,
3749,12/30/2024,01/01/2025,VONS #2400,Food & Drink,Sale,-78.46,
