Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/11/2024,01/11/2024,COMCAST CALIFORNIA,Bills & Utilities,Sale,-88.60,
01/05/2024,01/07/2024,FIORELLA - POLK,Food & Drink,Sale,-59.52,
01/07/2024,01/07/2024,SP ZWIFT  INC.,Shopping,Sale,-14.99,
01/05/2024,01/05/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-10.77,
01/04/2024,01/05/2024,SP MANSSION,Shopping,Sale,-35.95,
01/02/2024,01/03/2024,60777 - SFO PARKING DD Q9,Travel,Sale,-18.00,
01/01/2024,01/02/2024,SQ *RMU RETAIL LLC,Food & Drink,Sale,-62.26,
12/28/2023,12/28/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
12/26/2023,12/27/2023,ANTLERS DISCOUNT LIQUOR,Food & Drink,Sale,-234.05,
12/22/2023,12/25/2023,SCHMIGGITYS,Food & Drink,Sale,-20.18,
12/24/2023,12/25/2023,GITHUB  INC.,Professional Services,Sale,-10.00,
12/19/2023,12/19/2023,Payment Thank You - Web,,Payment,5423.23,
12/17/2023,12/19/2023,BONFARE MARKET 36,Gas,Sale,-76.82,
12/13/2023,12/15/2023,THE GREAT NORTHERN,Food & Drink,Sale,-26.52,
12/12/2023,12/13/2023,EB ART BATTLE SAN FRA,Personal,Sale,-26.24,
12/11/2023,12/12/2023,AIRBNB  HMXJTA8NPW,Travel,Sale,-3135.26,
12/11/2023,12/11/2023,COMCAST CALIFORNIA,Bills & Utilities,Sale,-88.60,
12/08/2023,12/10/2023,BARRYSBOOTCAMP,Health & Wellness,Sale,-93.00,
12/08/2023,12/10/2023,TST* MEZCALITO,Food & Drink,Sale,-60.39,
12/09/2023,12/10/2023,SEE TICKETS,Entertainment,Sale,-73.44,
12/06/2023,12/08/2023,BLUNDSTONE (U.S.A.)INC,Shopping,Sale,-249.78,
12/06/2023,12/07/2023,COSTCO WHSE #0144,Health & Wellness,Sale,-169.48,
12/07/2023,12/07/2023,SP ZWIFT  INC.,Shopping,Sale,-14.99,
12/07/2023,12/07/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Refund,3.17,
12/06/2023,12/07/2023,Payment Thank You - Web,,Payment,5320.68,
12/06/2023,12/06/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-107.40,
12/03/2023,12/03/2023,AUTOMATIC PAYMENT - THANK,,Payment,88.00,
12/02/2023,12/03/2023,BALBOA CAFE,Food & Drink,Sale,-26.72,
12/02/2023,12/03/2023,THE BARBERHOOD,Personal,Sale,-108.00,
12/01/2023,12/01/2023,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
12/01/2023,12/01/2023,SP ROLAND LIFESTYLE,Entertainment,Sale,-40.85,
11/29/2023,11/30/2023,23ANDME,Health & Wellness,Sale,-118.99,
11/28/2023,11/28/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
11/28/2023,11/28/2023,WILLIAMSON-DICKIE,Shopping,Sale,-26.06,
11/26/2023,11/27/2023,76 - CF UNITED APRO LL,Gas,Sale,-80.77,
11/25/2023,11/27/2023,BLUNDSTONE (U.S.A.)INC,Shopping,Sale,-424.64,
11/24/2023,11/26/2023,GITHUB  INC.,Professional Services,Sale,-10.00,
11/26/2023,11/26/2023,SP REASON CLOTHING,Shopping,Sale,-51.03,
11/25/2023,11/26/2023,WAL-MART #2989,Groceries,Sale,-3.04,
11/25/2023,11/26/2023,BCY*BACKCOUNTRY.COM,Shopping,Sale,-123.80,
11/19/2023,11/20/2023,GREENS SPORTS BAR,Food & Drink,Sale,-18.00,
11/17/2023,11/20/2023,GOLDEN BOY PIZZA SF,Food & Drink,Sale,-4.55,
11/15/2023,11/15/2023,SQ *BON NENE,Food & Drink,Sale,-142.27,
11/11/2023,11/12/2023,COMCAST CALIFORNIA,Bills & Utilities,Sale,-72.59,
11/07/2023,11/07/2023,SP ZWIFT  INC.,Shopping,Sale,-14.99,
11/06/2023,11/06/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-34.15,
11/04/2023,11/06/2023,PERRY'S UNION ST,Food & Drink,Sale,-397.19,
11/03/2023,11/05/2023,BALBOA CAFE,Food & Drink,Sale,-9.90,
11/02/2023,11/05/2023,UNITED      0162339177362,Travel,Sale,-479.82,
11/03/2023,11/03/2023,AUTOMATIC PAYMENT - THANK,,Payment,40.00,
11/02/2023,11/03/2023,AIRBNB  HMXJTA8NPW,Travel,Sale,-2735.30,
10/28/2023,10/30/2023,MAUNA LOA,Food & Drink,Sale,-29.07,
10/28/2023,10/30/2023,MAUNA LOA,Food & Drink,Sale,-20.38,
10/27/2023,10/29/2023,TST* Kennedys Irish Pub,Food & Drink,Sale,-32.40,
10/28/2023,10/29/2023,BALBOA CAFE,Food & Drink,Sale,-18.82,
10/27/2023,10/29/2023,BALBOA CAFE,Food & Drink,Sale,-58.23,
10/28/2023,10/29/2023,RITUALHOTYOGA.COM,Health & Wellness,Sale,-34.00,
10/28/2023,10/29/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
10/25/2023,10/27/2023,PEACEKEEPER,Food & Drink,Sale,-35.00,
10/24/2023,10/25/2023,GITHUB  INC.,Professional Services,Sale,-10.00,
10/21/2023,10/22/2023,TST* Red Window,Food & Drink,Sale,-102.67,
10/21/2023,10/22/2023,TST* THE LOST CAT,Food & Drink,Sale,-62.14,
10/21/2023,10/22/2023,BALBOA CAFE,Food & Drink,Sale,-38.89,
10/19/2023,10/20/2023,TST* TAILOR'S SON,Food & Drink,Sale,-39.61,
10/19/2023,10/20/2023,FOURTET:OPENTOCLOSES,Shopping,Sale,-75.64,
10/16/2023,10/18/2023,TST* Kennedys Irish Pub,Food & Drink,Sale,-40.16,
10/13/2023,10/15/2023,FUEL 4 LESS,Gas,Sale,-67.86,
10/11/2023,10/12/2023,SQ *PHAT THAI LOMBARD,Food & Drink,Sale,-24.36,
10/12/2023,10/12/2023,IKON PASS,Entertainment,Sale,-789.00,
10/11/2023,10/11/2023,COMCAST CALIFORNIA,Bills & Utilities,Sale,-72.59,
10/10/2023,10/10/2023,TETON GRAVITY RESEARCH,Shopping,Sale,-22.40,
10/06/2023,10/08/2023,SF MTA,Bills & Utilities,Sale,-85.00,
10/07/2023,10/08/2023,SP ZWIFT  INC.,Shopping,Sale,-14.99,
10/05/2023,10/06/2023,UBER   TRIP,Travel,Sale,-11.98,
10/04/2023,10/04/2023,UBER   TRIP,Travel,Sale,-60.99,
09/30/2023,10/01/2023,UBER *TRIP HELP.UBER.COM,Travel,Sale,-6.14,
09/28/2023,09/29/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
09/28/2023,09/28/2023,Payment Thank You - Web,,Payment,430.98,
09/24/2023,09/25/2023,GITHUB  INC.,Professional Services,Sale,-10.00,
09/10/2023,09/11/2023,SQ *ELEVATE BAR CATERING,Food & Drink,Sale,-92.04,
09/09/2023,09/11/2023,THE BOARDROOM,Food & Drink,Sale,-18.88,
09/11/2023,09/11/2023,COMCAST CALIFORNIA,Bills & Utilities,Sale,-72.59,
09/09/2023,09/10/2023,SQ *1015 FOLSOM,Food & Drink,Sale,-39.97,
09/08/2023,09/10/2023,INDIANVISAONLINESBIEPAY,Bills & Utilities,Sale,-25.63,
09/09/2023,09/10/2023,SQ *1015 FOLSOM,Food & Drink,Sale,-52.46,
09/07/2023,09/07/2023,SP ZWIFT  INC.,Shopping,Sale,-14.99,
09/06/2023,09/06/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-15.21,
08/28/2023,08/28/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
08/27/2023,08/27/2023,Gopuff Credit,Fees & Adjustments,Adjustment,10.00,
08/27/2023,08/27/2023,GO PUFFBEV AND MORE,Food & Drink,Sale,-69.21,
08/24/2023,08/25/2023,GITHUB  INC.,Professional Services,Sale,-10.00,
08/17/2023,08/17/2023,Payment Thank You-Mobile,,Payment,2637.38,
08/11/2023,08/11/2023,COMCAST CALIFORNIA,Bills & Utilities,Sale,-67.59,
08/06/2023,08/09/2023,CLIPPER SERVICES,Travel,Sale,-40.00,
08/07/2023,08/08/2023,SP ZWIFT  INC.,Shopping,Sale,-14.99,
08/06/2023,08/06/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-46.22,
08/03/2023,08/03/2023,AUTOMATIC PAYMENT - THANK,,Payment,67.00,
07/28/2023,07/30/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
07/24/2023,07/25/2023,GITHUB  INC.,Professional Services,Sale,-10.00,
07/19/2023,07/21/2023,JOE'S PIZZA,Food & Drink,Sale,-9.50,
07/11/2023,07/11/2023,COMCAST CALIFORNIA,Bills & Utilities,Sale,-51.29,
07/10/2023,07/11/2023,SQUARESPACE INC.,Professional Services,Sale,-168.00,
07/07/2023,07/09/2023,SP ZWIFT  INC.,Shopping,Sale,-14.99,
07/06/2023,07/06/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-45.26,
06/30/2023,07/06/2023,SFMH-ADMITTING,Health & Wellness,Return,93.26,
06/30/2023,07/03/2023,KOZY KAR,Food & Drink,Sale,-28.30,
06/28/2023,06/28/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
06/27/2023,06/27/2023,SQUARESPACE INC.,Professional Services,Sale,-20.00,
06/25/2023,06/26/2023,SQ *MONARCH BEVERAGE CATE,Food & Drink,Sale,-27.60,
06/24/2023,06/26/2023,SKYDIVE SANTA CRUZ,Entertainment,Sale,-62.80,
06/24/2023,06/26/2023,SKYDIVE SANTA CRUZ,Entertainment,Sale,-286.75,
06/24/2023,06/26/2023,SAFEWAY #0667,Groceries,Sale,-15.12,
06/24/2023,06/25/2023,GITHUB  INC.,Professional Services,Sale,-10.00,
06/19/2023,06/19/2023,Payment Thank You - Web,,Payment,2000.00,
06/17/2023,06/18/2023,THE SEA STAR - SF (CALIF,Food & Drink,Sale,-344.11,
06/16/2023,06/18/2023,SQ *EDWARD C. SHIN MD INC,Health & Wellness,Sale,-40.00,
06/15/2023,06/16/2023,SKYDIVE SANTA CRUZ,Entertainment,Sale,-50.00,
06/13/2023,06/14/2023,UNITED      0162493926103,Travel,Sale,-11.20,
06/14/2023,06/14/2023,SQ *BODEGA,Food & Drink,Sale,-40.52,
06/13/2023,06/14/2023,SQ *BODEGA,Food & Drink,Sale,-81.04,
06/11/2023,06/13/2023,VESSEL,Food & Drink,Sale,-49.06,
06/12/2023,06/12/2023,AMERICAN AIR0012454764720,Travel,Sale,-538.80,
06/11/2023,06/12/2023,TST* BODEGA BAR,Food & Drink,Sale,-43.93,
06/10/2023,06/12/2023,GRANT GREEN MARKET,Groceries,Sale,-27.04,
06/10/2023,06/11/2023,TST* 15 ROMOLO,Food & Drink,Sale,-63.51,
06/08/2023,06/11/2023,Z &amp; Y RESTAURANT,Food & Drink,Sale,-60.00,
06/11/2023,06/11/2023,COMCAST CALIFORNIA,Bills & Utilities,Sale,-51.29,
06/08/2023,06/09/2023,SEE TICKETS *Mochakk - gn,Entertainment,Sale,-43.48,
06/07/2023,06/08/2023,SP ZWIFT  INC.,Shopping,Sale,-14.99,
06/06/2023,06/06/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-34.07,
06/05/2023,06/05/2023,TST* Freewheel LLC,Food & Drink,Sale,-74.53,
06/02/2023,06/02/2023,AUTOMATIC PAYMENT - THANK,,Payment,40.00,
06/01/2023,06/02/2023,TIXR* ADID ALL DAY I D,Shopping,Sale,-72.42,
06/01/2023,06/02/2023,TST* RADHAUS,Food & Drink,Sale,-213.94,
05/28/2023,05/30/2023,HARPER  RYE,Food & Drink,Sale,-35.00,
05/28/2023,05/30/2023,HARPER  RYE,Food & Drink,Sale,-47.12,
05/28/2023,05/29/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
05/24/2023,05/26/2023,DIOGO BRUNO ALMEIDA,Shopping,Sale,-11.40,
05/24/2023,05/25/2023,GITHUB  INC.,Professional Services,Sale,-10.00,
05/23/2023,05/24/2023,PD GO REFER CASCAIS,Groceries,Sale,-5.16,
05/16/2023,05/17/2023,SAN FRANCISCO PASSPORT,Bills & Utilities,Sale,-190.00,
05/14/2023,05/15/2023,KNOWN TRAVELER CREDIT,Fees & Adjustments,Adjustment,100.00,
05/14/2023,05/15/2023,USCUSTOMS TRUSTEDTRAVELER,Bills & Utilities,Sale,-100.00,
05/12/2023,05/14/2023,SOUTHWES    5262453127888,Travel,Return,148.98,
05/13/2023,05/14/2023,TOPPU RAMEN &amp; DIM SUM,Food & Drink,Sale,-207.00,
05/13/2023,05/14/2023,SQ *BLACK COFFEE - OAKLAN,Groceries,Sale,-53.00,
05/13/2023,05/14/2023,SQ *BLACK COFFEE - OAKLAN,Groceries,Sale,-36.58,
05/11/2023,05/14/2023,SEARCHLIGHT MARKET,Groceries,Sale,-11.75,
05/11/2023,05/14/2023,SOUTHWES    5262453127888,Travel,Sale,-148.98,
05/13/2023,05/14/2023,SQ *BLACK COFFEE - OAKLAN,Groceries,Sale,-27.14,
05/11/2023,05/12/2023,1-800 CONTACTS  INC.,Health & Wellness,Sale,-145.98,
05/11/2023,05/12/2023,VISION RX PC,Health & Wellness,Sale,-20.00,
05/12/2023,05/12/2023,SQ *UNION LARDER,Food & Drink,Sale,-67.78,
05/11/2023,05/11/2023,COMCAST CALIFORNIA,Bills & Utilities,Sale,-51.29,
05/06/2023,05/08/2023,TOPE,Food & Drink,Sale,-22.00,
05/07/2023,05/08/2023,TOPE,Food & Drink,Sale,-10.80,
05/07/2023,05/08/2023,SP ZWIFT  INC.,Shopping,Sale,-14.99,
05/05/2023,05/05/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-17.09,
05/02/2023,05/04/2023,EZ STOP DELI,Groceries,Sale,-28.59,
05/03/2023,05/03/2023,AUTOMATIC PAYMENT - THANK,,Payment,40.00,
04/28/2023,04/28/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
04/24/2023,04/25/2023,GITHUB  INC.,Shopping,Sale,-10.00,
04/11/2023,04/11/2023,COMCAST CALIFORNIA,Bills & Utilities,Sale,-51.29,
04/07/2023,04/07/2023,SP ZWIFT  INC.,Shopping,Sale,-14.99,
04/01/2023,04/02/2023,TST* Great Full Gardens -,Food & Drink,Sale,-46.06,
03/31/2023,04/02/2023,THE ARC AT GOLD COAST,Food & Drink,Sale,-35.00,
04/01/2023,04/02/2023,SIERRA #0009,Shopping,Sale,-14.06,
03/28/2023,03/28/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
03/26/2023,03/27/2023,UBER   TRIP,Travel,Sale,-20.96,
03/24/2023,03/26/2023,GITHUB,Professional Services,Sale,-10.00,
03/23/2023,03/26/2023,DON PISTOS - SAN FRANCISC,Food & Drink,Sale,-94.85,
03/25/2023,03/26/2023,UBER   TRIP,Travel,Sale,-10.98,
