Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/26/2024,02/28/2024,WASH KIOSK MOBILE,Personal,Sale,-15.00,
02/26/2024,02/27/2024,TST* ARCANA,Food & Drink,Sale,-46.30,
02/26/2024,02/27/2024,UBER   TRIP,Travel,Sale,-21.91,
02/25/2024,02/26/2024,TACOS EL PATRON,Food & Drink,Sale,-21.06,
02/25/2024,02/26/2024,Amazon Prime*RZ5NQ3X10,Bills & Utilities,Sale,-14.99,
02/24/2024,02/25/2024,AMZN Mktp US*RZ54A8J50,Shopping,Sale,-89.86,
02/24/2024,02/25/2024,SEARCHLIGHT MARKET,Groceries,Sale,-43.25,
02/23/2024,02/25/2024,UBER   TRIP,Travel,Sale,-14.95,
02/20/2024,02/22/2024,SAFEWAY #1711,Groceries,Sale,-125.09,
02/21/2024,02/21/2024,UBER   TRIP,Travel,Sale,-10.94,
02/20/2024,02/21/2024,SPORTS BASEMENT U102,Shopping,Sale,-100.00,
02/19/2024,02/21/2024,TST* BURGER &amp; CREAM - AUB,Food & Drink,Sale,-15.55,
02/21/2024,02/21/2024,Payment Thank You - Web,,Payment,2165.15,
02/20/2024,02/21/2024,Dropbox 4STZ7XCTTT8G,Bills & Utilities,Sale,-11.99,
02/17/2024,02/19/2024,TST* LA MEXICANA,Food & Drink,Sale,-39.03,
02/17/2024,02/19/2024,SIERRA STATION 5,Gas,Sale,-11.29,
02/18/2024,02/19/2024,SQ *MOGROG CAFE,Food & Drink,Sale,-81.40,
02/17/2024,02/18/2024,UBER   TRIP,Travel,Sale,-10.96,
02/17/2024,02/18/2024,UBER   TRIP,Travel,Sale,-16.67,
02/14/2024,02/15/2024,Spotify USA,Bills & Utilities,Sale,-16.99,
02/12/2024,02/13/2024,UBER   TRIP,Travel,Sale,-17.91,
02/12/2024,02/13/2024,UBER   TRIP,Travel,Sale,-11.97,
02/07/2024,02/08/2024,ADOBE INC.,Shopping,Sale,-9.99,
02/05/2024,02/06/2024,SQ *HUMMUS MEDITERRANEAN,Food & Drink,Sale,-31.76,
02/03/2024,02/05/2024,KT BASE BAR PALISADES,Food & Drink,Sale,-30.98,
02/03/2024,02/05/2024,SAFEWAY #1266,Groceries,Sale,-56.82,
02/02/2024,02/04/2024,CHICK-FIL-A #03262,Food & Drink,Sale,-29.18,
02/02/2024,02/04/2024,UBER   TRIP,Travel,Sale,-18.94,
02/02/2024,02/04/2024,UBER   TRIP,Travel,Sale,-13.93,
02/02/2024,02/04/2024,LYFT   1 RIDE 01-31,Travel,Sale,-6.07,
02/02/2024,02/04/2024,AUTOZONE #4084,Automotive,Sale,-191.15,
02/01/2024,02/02/2024,CRUNCH100A,Health & Wellness,Sale,-89.20,
01/30/2024,01/30/2024,UBER   TRIP,Travel,Sale,-15.96,
01/26/2024,01/29/2024,BONITA TAQUERIA  ROTISSE,Food & Drink,Sale,-18.25,
01/28/2024,01/29/2024,UBER   TRIP,Travel,Sale,-21.91,
01/27/2024,01/29/2024,AUDIO AND BERGERAC,Food & Drink,Sale,-70.00,
01/28/2024,01/29/2024,UBER   TRIP,Travel,Sale,-34.52,
01/27/2024,01/28/2024,UBER   TRIP,Travel,Sale,-21.95,
01/27/2024,01/28/2024,UBER   TRIP,Travel,Sale,-10.91,
01/26/2024,01/28/2024,BALBOA CAFE,Food & Drink,Sale,-61.23,
01/27/2024,01/28/2024,UBER   TRIP,Travel,Sale,-12.96,
01/24/2024,01/26/2024,WASH KIOSK MOBILE,Personal,Sale,-15.00,
01/25/2024,01/26/2024,Amazon Prime*R06074OH1,Bills & Utilities,Sale,-14.99,
01/25/2024,01/26/2024,SEARCHLIGHT MARKET,Groceries,Sale,-22.30,
01/23/2024,01/23/2024,AUTOMATIC PAYMENT - THANK,,Payment,387.92,
01/21/2024,01/23/2024,MENDOCINO FARMS #36,Food & Drink,Sale,-20.46,
01/19/2024,01/22/2024,TAQUERIA VALLARTA,Food & Drink,Sale,-9.05,
01/21/2024,01/22/2024,UBER   TRIP,Travel,Sale,-13.57,
01/22/2024,01/22/2024,ADOBE  *800-833-6687,Shopping,Sale,-20.99,
01/19/2024,01/22/2024,TAQUERIA VALLARTA,Food & Drink,Sale,-13.57,
01/20/2024,01/21/2024,UBER   TRIP,Travel,Sale,-22.92,
01/20/2024,01/21/2024,Dropbox ZLKYVGL35F2S,Bills & Utilities,Sale,-11.99,
01/19/2024,01/21/2024,SQ *LA TAQUERIA,Food & Drink,Sale,-55.04,
01/20/2024,01/21/2024,SQ *HUMPHRY SLOCOMBE ICE,Food & Drink,Sale,-6.25,
01/19/2024,01/19/2024,UBER   TRIP,Travel,Sale,-16.74,
01/17/2024,01/18/2024,SEARCHLIGHT MARKET,Groceries,Sale,-13.37,
01/15/2024,01/17/2024,CHICK-FIL-A #03759,Food & Drink,Sale,-21.24,
01/16/2024,01/17/2024,SQ *BLUE BOTTLE COFFEE,Food & Drink,Sale,-15.85,
01/14/2024,01/16/2024,LA MEXICANA MARKET,Groceries,Sale,-14.49,
01/14/2024,01/16/2024,TST* LA MEXICANA,Food & Drink,Sale,-28.42,
01/14/2024,01/15/2024,Spotify USA,Bills & Utilities,Sale,-16.99,
01/12/2024,01/14/2024,TST* LA MEXICANA,Food & Drink,Sale,-37.72,
01/12/2024,01/14/2024,SQ *CORNERSTONE BAKERY,Food & Drink,Sale,-23.00,
01/11/2024,01/14/2024,CHICK-FIL-A #02794,Food & Drink,Sale,-21.68,
01/10/2024,01/12/2024,CREPES AGOGO,Food & Drink,Sale,-10.18,
01/11/2024,01/12/2024,AMZN Mktp US*TK64Y1YQ1,Shopping,Sale,-29.32,
01/08/2024,01/09/2024,ConverseUS,Shopping,Return,48.88,
01/08/2024,01/09/2024,ConverseUS,Shopping,Return,48.88,
01/08/2024,01/09/2024,ConverseUS,Shopping,Return,40.74,
01/08/2024,01/08/2024,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
01/07/2024,01/08/2024,UBER   TRIP,Travel,Sale,-12.96,
12/31/2023,01/02/2024,TACO BELL#21443,Food & Drink,Sale,-16.64,
01/01/2024,01/02/2024,CRUNCH100A,Health & Wellness,Sale,-89.20,
01/01/2024,01/01/2024,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
12/31/2023,01/01/2024,SQ *T-REX &amp; FLYERS,Food & Drink,Sale,-13.66,
12/30/2023,12/31/2023,PHO BAY SILVERTHORNE,Food & Drink,Sale,-144.18,
12/26/2023,12/27/2023,SQ *SIZZLIN JAMAICAN CUIS,Food & Drink,Sale,-22.21,
12/25/2023,12/27/2023,TST* VAQUEROS STEAMBOAT 2,Food & Drink,Sale,-334.25,
12/26/2023,12/26/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-27.31,
12/25/2023,12/26/2023,Amazon Prime*TU8ZV1V61,Bills & Utilities,Sale,-14.99,
12/23/2023,12/25/2023,THUNDERHEAD RESTAURANT,Food & Drink,Sale,-52.80,
12/22/2023,12/25/2023,MERCADO LA PERLA - RESTAU,Food & Drink,Sale,-19.44,
12/22/2023,12/25/2023,MERCADO LA PERLA - RESTAU,Food & Drink,Sale,-7.78,
12/23/2023,12/25/2023,QDOBA 2322,Food & Drink,Sale,-17.56,
12/22/2023,12/24/2023,SQ *BANH &amp; BUTTER BAKERY,Food & Drink,Sale,-20.80,
12/22/2023,12/24/2023,SAFEWAY #0637,Groceries,Sale,-7.97,
12/21/2023,12/22/2023,AMZN Mktp US*GE3648S03,Shopping,Sale,-10.85,
12/20/2023,12/21/2023,SQ *SAINT FRANK COFFEE,Food & Drink,Sale,-21.84,
12/20/2023,12/21/2023,ADOBE  *PR CREATIVE CL,Shopping,Sale,-20.99,
12/20/2023,12/21/2023,Dropbox ZM2YRWMVNJD7,Bills & Utilities,Sale,-11.99,
12/20/2023,12/21/2023,THE UPS STORE 3393,Personal,Sale,-4.32,
12/19/2023,12/21/2023,SAIS RESTAURANT AND BAR,Food & Drink,Sale,-21.52,
12/19/2023,12/20/2023,AMZN Mktp US*TU81514X0,Shopping,Sale,-30.95,
12/20/2023,12/20/2023,AMZN Mktp US*A42L37E43,Shopping,Sale,-205.92,
12/19/2023,12/19/2023,Payment Thank You - Web,,Payment,1956.50,
12/17/2023,12/19/2023,7-ELEVEN 16965,Gas,Sale,-8.26,
12/17/2023,12/19/2023,AUTHENTIC TACOS JALISCO,Food & Drink,Sale,-21.13,
12/14/2023,12/17/2023,CHICK-FIL-A #03441,Food & Drink,Sale,-22.84,
12/15/2023,12/17/2023,SQ *DARK HORSE COFFEE ROA,Food & Drink,Sale,-5.75,
12/15/2023,12/17/2023,SQ *DARK HORSE COFFEE ROA,Food & Drink,Sale,-4.75,
12/15/2023,12/17/2023,SQ *SIERRA BAKEHOUSE,Food & Drink,Sale,-45.54,
12/14/2023,12/15/2023,Spotify USA,Bills & Utilities,Sale,-16.99,
12/13/2023,12/15/2023,THE GREAT NORTHERN,Food & Drink,Sale,-26.52,
12/13/2023,12/15/2023,THE GREAT NORTHERN,Food & Drink,Sale,-26.52,
12/14/2023,12/15/2023,UBER   TRIP,Travel,Sale,-22.50,
12/14/2023,12/15/2023,CHEVRON 0355763,Gas,Sale,-72.04,
12/13/2023,12/15/2023,KOZY KAR,Food & Drink,Sale,-20.38,
12/14/2023,12/15/2023,UBER   TRIP,Travel,Sale,-23.93,
12/11/2023,12/13/2023,WASH KIOSK MOBILE,Personal,Sale,-15.00,
12/12/2023,12/13/2023,SQ *SAINT FRANK COFFEE,Food & Drink,Sale,-11.96,
12/11/2023,12/12/2023,UBER   TRIP,Travel,Sale,-18.98,
12/10/2023,12/12/2023,TST* MAMAHUHU - CLEMENT,Food & Drink,Sale,-42.76,
12/09/2023,12/11/2023,FOOL`S ERRAND,Food & Drink,Sale,-12.02,
12/10/2023,12/11/2023,TST* CURIO BAR,Food & Drink,Sale,-22.25,
12/10/2023,12/11/2023,UBER   TRIP,Travel,Sale,-22.95,
12/10/2023,12/11/2023,UBER   TRIP,Travel,Sale,-61.35,
12/08/2023,12/11/2023,EMPORIUM  SF,Food & Drink,Sale,-29.00,
12/10/2023,12/11/2023,TST* CURIO BAR,Food & Drink,Sale,-18.25,
12/11/2023,12/11/2023,UBER   TRIP,Travel,Sale,-17.90,
12/09/2023,12/11/2023,FOOL`S ERRAND,Food & Drink,Sale,-17.36,
12/08/2023,12/10/2023,Amazon.com*ZH8QV3R63,Shopping,Sale,-25.83,
12/09/2023,12/10/2023,UBER   TRIP,Travel,Sale,-12.94,
12/07/2023,12/08/2023,AMZN Mktp US*GW1O19013,Shopping,Sale,-39.09,
12/07/2023,12/08/2023,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
12/06/2023,12/07/2023,Payment Thank You - Web,,Payment,4312.91,
12/05/2023,12/07/2023,CILANTRO SF TAQUERIA,Food & Drink,Sale,-7.50,
12/05/2023,12/06/2023,AMZN Mktp US*Z36HJ5H63,Shopping,Sale,-10.86,
12/04/2023,12/05/2023,UBER   TRIP,Travel,Sale,-9.93,
12/04/2023,12/05/2023,SPORTS BASEMENT PRESIDIO,Shopping,Sale,-85.75,
12/03/2023,12/05/2023,HARPER  RYE,Food & Drink,Sale,-35.59,
12/02/2023,12/04/2023,COMET CLUB,Food & Drink,Sale,-54.76,
12/04/2023,12/04/2023,AMZN Mktp US*B77B64YN3,Shopping,Sale,-17.38,
12/02/2023,12/03/2023,BALBOA CAFE,Food & Drink,Sale,-40.15,
12/01/2023,12/03/2023,CRUNCH100A,Health & Wellness,Sale,-89.20,
11/30/2023,12/01/2023,ConverseUS,Shopping,Sale,-184.66,
11/30/2023,12/01/2023,ConverseUS,Shopping,Sale,-29.85,
11/28/2023,11/29/2023,SPORTS BASEMENT U102,Shopping,Sale,-260.00,
11/27/2023,11/28/2023,AMZN Mktp US*1Z2W90IK3,Shopping,Sale,-112.63,
11/28/2023,11/28/2023,EVERLANE* R008578220,Shopping,Sale,-102.02,
11/27/2023,11/27/2023,SP MARINE LAYER,Shopping,Sale,-61.11,
11/27/2023,11/27/2023,AMZN Mktp US*H79H32B83,Shopping,Sale,-189.72,
11/26/2023,11/26/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-85.76,
11/25/2023,11/26/2023,SPORTS BASEMENT SAN RAMO,Shopping,Sale,-70.69,
11/25/2023,11/26/2023,Amazon Prime*TP5MZ2HM3,Bills & Utilities,Sale,-14.99,
11/23/2023,11/23/2023,AUTOMATIC PAYMENT - THANK,,Payment,88.00,
11/20/2023,11/21/2023,ADOBE  *800-833-6687,Shopping,Sale,-20.99,
11/20/2023,11/21/2023,UBER   TRIP,Travel,Sale,-21.91,
11/20/2023,11/21/2023,Dropbox 2YFB8XZ48CBF,Bills & Utilities,Sale,-11.99,
11/18/2023,11/20/2023,NORTH BEACH FOOD MART,Food & Drink,Sale,-3.50,
11/19/2023,11/20/2023,SQ *BIRDBOX,Food & Drink,Sale,-37.64,
11/17/2023,11/19/2023,SQ *LUSH GELATO,Groceries,Sale,-5.90,
11/18/2023,11/19/2023,SQ *CHESTNUT STREET COFFE,Food & Drink,Sale,-4.61,
11/17/2023,11/19/2023,TST* TONYS PIZZA NAPOLET,Food & Drink,Sale,-7.33,
11/17/2023,11/19/2023,EL FAROLITO,Food & Drink,Sale,-8.15,
11/15/2023,11/16/2023,UBER   TRIP,Travel,Sale,-14.90,
11/15/2023,11/16/2023,CRUNCH100A,Health & Wellness,Sale,-79.00,
11/14/2023,11/15/2023,Spotify USA,Bills & Utilities,Sale,-16.99,
11/11/2023,11/12/2023,UBER   TRIP,Travel,Sale,-10.97,
11/11/2023,11/12/2023,UBER   TRIP,Travel,Sale,-11.92,
11/07/2023,11/09/2023,WASH KIOSK MOBILE,Personal,Sale,-15.00,
11/07/2023,11/08/2023,SEARCHLIGHT MARKET,Groceries,Sale,-15.46,
11/07/2023,11/08/2023,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
11/05/2023,11/06/2023,UBER   TRIP,Travel,Sale,-8.98,
11/05/2023,11/06/2023,UBER   TRIP,Travel,Sale,-25.95,
11/06/2023,11/06/2023,UBER   TRIP,Travel,Sale,-21.94,
11/04/2023,11/05/2023,UBER   TRIP,Travel,Sale,-9.99,
11/03/2023,11/05/2023,AMZN Mktp US*9A2U80A63,Shopping,Sale,-9.75,
11/04/2023,11/05/2023,Madepants Apparel,Shopping,Sale,-68.98,
11/02/2023,11/03/2023,SQ *SAINT FRANK COFFEE,Food & Drink,Sale,-21.84,
11/02/2023,11/02/2023,AMZN Mktp US*5C19W8RJ3,Shopping,Sale,-64.04,
11/01/2023,11/02/2023,CRUNCH100A,Health & Wellness,Sale,-89.20,
10/29/2023,10/30/2023,UBER   TRIP,Travel,Sale,-9.92,
10/29/2023,10/30/2023,UBER   TRIP,Travel,Sale,-25.34,
10/29/2023,10/30/2023,UBER   TRIP,Travel,Sale,-21.29,
10/29/2023,10/29/2023,COW PALACE (BAR),Shopping,Sale,-48.00,
10/29/2023,10/29/2023,UBER   TRIP,Travel,Sale,-9.92,
10/28/2023,10/29/2023,MICHAELIS WINE &amp; SPRIT,Food & Drink,Sale,-27.77,
10/28/2023,10/29/2023,GOLDEN 7 LIQUOR WINE AND,Food & Drink,Sale,-17.39,
10/27/2023,10/29/2023,TST* Kennedys Irish Pub,Food & Drink,Sale,-20.57,
10/26/2023,10/27/2023,UBER   TRIP,Travel,Sale,-8.99,
10/26/2023,10/27/2023,UBER   TRIP,Travel,Sale,-9.17,
10/26/2023,10/26/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-54.84,
10/25/2023,10/26/2023,Amazon Prime*0O40U8LJ3,Bills & Utilities,Sale,-14.99,
10/23/2023,10/23/2023,AUTOMATIC PAYMENT - THANK,,Payment,53.00,
10/21/2023,10/23/2023,SKI PRO ONLINE,Shopping,Sale,-257.97,
10/22/2023,10/23/2023,SEARCHLIGHT MARKET,Groceries,Sale,-25.15,
10/21/2023,10/22/2023,SQ *BILL GRAHAM CIVIC AUD,Food & Drink,Sale,-26.07,
10/20/2023,10/22/2023,Dropbox JQQ8PTQJ2GXT,Bills & Utilities,Sale,-11.99,
10/22/2023,10/22/2023,WHOOP,Shopping,Sale,-239.00,
10/21/2023,10/22/2023,UBER   TRIP,Travel,Sale,-11.94,
10/20/2023,10/22/2023,ADOBE  *800-833-6687,Shopping,Sale,-20.99,
10/22/2023,10/22/2023,LYFT   1 RIDE 10-20,Travel,Sale,-15.78,
10/21/2023,10/22/2023,UBER   TRIP,Travel,Sale,-13.94,
10/19/2023,10/20/2023,UBER   TRIP,Travel,Sale,-10.93,
10/16/2023,10/17/2023,AMZN Digital*TP6RH9TK1,Shopping,Sale,-59.99,
10/15/2023,10/17/2023,BROTHERS BURRITO HOUSE,Food & Drink,Sale,-14.06,
10/14/2023,10/15/2023,Spotify USA,Bills & Utilities,Sale,-16.99,
10/13/2023,10/15/2023,CHICK-FIL-A #03262,Food & Drink,Sale,-25.98,
10/13/2023,10/15/2023,SPORTS BASEMENT PRESIDIO,Shopping,Sale,-80.66,
10/11/2023,10/12/2023,SQ *PALACE OF FINE ARTS T,Food & Drink,Sale,-10.78,
10/11/2023,10/12/2023,AMZN Mktp US*TE3SM0A71,Shopping,Sale,-96.62,
10/07/2023,10/09/2023,SAFEWAY #1711,Groceries,Sale,-62.32,
10/07/2023,10/09/2023,BONITA TAQUERIA  ROTISSE,Food & Drink,Sale,-19.97,
10/08/2023,10/09/2023,TST* EQUATOR COFFEES - MA,Food & Drink,Sale,-15.65,
10/08/2023,10/09/2023,LYFT   1 RIDE 10-07,Travel,Sale,-13.77,
10/07/2023,10/09/2023,BONITA TAQUERIA  ROTISSE,Food & Drink,Sale,-19.97,
10/07/2023,10/08/2023,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
10/04/2023,10/05/2023,TST* SUPER DUPER BURGERS,Food & Drink,Sale,-11.01,
10/04/2023,10/05/2023,TST* SUPER DUPER BURGERS,Food & Drink,Sale,-18.36,
10/01/2023,10/02/2023,TATA STARBUCKS PRIVATE,Food & Drink,Sale,-11.07,
10/01/2023,10/02/2023,CRUNCH100A,Health & Wellness,Sale,-89.20,
10/01/2023,10/02/2023,TACO BELL,Food & Drink,Sale,-14.59,
10/01/2023,10/02/2023,OM SWEETS PVT LTD,Food & Drink,Sale,-20.68,
10/01/2023,10/02/2023,DSI SOHNA ROAD,Shopping,Sale,-68.10,
09/30/2023,10/01/2023,DOWNTOWN VILLAGE,Food & Drink,Sale,-19.83,
09/30/2023,10/01/2023,SOCIAL HOUSE,Food & Drink,Sale,-38.74,
09/30/2023,10/01/2023,SOCIAL HOUSE,Food & Drink,Sale,-21.93,
09/30/2023,10/01/2023,SOCIAL HOUSE,Food & Drink,Sale,-21.37,
09/30/2023,10/01/2023,DOWNTOWN VILLAGE,Food & Drink,Sale,-19.88,
09/26/2023,09/26/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-34.07,
09/25/2023,09/26/2023,Amazon Prime*T19860PR0,Bills & Utilities,Sale,-14.99,
09/23/2023,09/25/2023,DLF MALL OF INDIA FOOD,Groceries,Sale,-12.44,
09/22/2023,09/22/2023,AUTOMATIC PAYMENT - THANK,,Payment,81.00,
09/20/2023,09/21/2023,ADOBE  *800-833-6687,Shopping,Sale,-20.99,
